iter	Passed	Remaining
427	1688	2256
428	1690	2250
429	1692	2243
430	1695	2238
431	1697	2231
432	1699	2225
433	1702	2220
434	1705	2215
435	1708	2209
436	1710	2204
437	1713	2198
438	1715	2192
439	1719	2188
440	1723	2184
441	1725	2178
442	1727	2172
443	1730	2166
444	1732	2160
445	1734	2154
446	1737	2148
447	1739	2143
448	1741	2137
449	1744	2131
450	1748	2128
451	1751	2123
452	1753	2117
453	1756	2112
454	1759	2106
455	1762	2102
456	1764	2096
457	1766	2090
458	1769	2085
459	1771	2079
460	1774	2074
461	1776	2068
462	1779	2064
463	1782	2059
464	1784	2053
465	1787	2048
466	1789	2042
467	1792	2037
468	1794	2031
469	1796	2025
470	1798	2019
471	1800	2014
472	1803	2009
473	1805	2003
474	1808	1998
475	1810	1993
476	1813	1987
477	1815	1982
478	1819	1978
479	1821	1973
480	1824	1968
481	1826	1963
482	1829	1958
483	1832	1953
484	1834	1947
485	1837	1942
486	1840	1938
487	1843	1934
488	1846	1929
489	1848	1923
490	1851	1919
491	1853	1913
492	1855	1908
493	1858	1903
494	1861	1898
495	1863	1893
496	1865	1888
497	1869	1884
498	1872	1879
499	1875	1875
500	1880	1872
501	1883	1868
502	1886	1863
503	1889	1859
504	1893	1855
505	1898	1853
506	1901	1848
507	1907	1847
508	1912	1844
509	1924	1848
510	1928	1845
511	1932	1842
512	1942	1844
513	1945	1839
514	1947	1834
515	1956	1835
516	1961	1832
517	1963	1827
518	1973	1828
519	1975	1823
520	1978	1819
521	1985	1818
522	1988	1813
523	1991	1809
524	1998	1807
525	2001	1803
526	2004	1798
527	2006	1793
528	2013	1792
529	2016	1788
530	2019	1783
531	2021	1778
532	2028	1776
533	2032	1773
534	2034	1768
535	2037	1763
536	2047	1765
537	2051	1761
538	2055	1758
539	2059	1754
540	2063	1750
541	2069	1748
542	2072	1744
543	2075	1739
544	2083	1739
545	2086	1734
546	2089	1730
547	2092	1725
548	2097	1722
549	2099	1718
550	2102	1713
551	2105	1708
552	2109	1705
553	2116	1704
554	2119	1699
555	2123	1695
556	2127	1691
557	2129	1687
558	2132	1682
559	2135	1677
560	2142	1676
561	2146	1673
562	2150	1669
563	2156	1666
564	2160	1663
565	2164	1660
566	2169	1657
567	2173	1653
568	2177	1649
569	2180	1644
570	2184	1641
571	2187	1637
572	2190	1632
573	2194	1628
574	2198	1625
575	2201	1620
576	2205	1617
577	2208	1612
578	2217	1612
579	2221	1608
580	2227	1606
581	2232	1603
582	2235	1598
583	2241	1596
584	2249	1595
585	2253	1592
586	2261	1590
587	2264	1586
588	2268	1583
589	2272	1579
590	2275	1574
591	2279	1571
592	2284	1567
593	2291	1566
594	2295	1562
595	2301	1560
596	2306	1556
597	2310	1553
598	2314	1549
599	2317	1545
600	2321	1541
601	2324	1536
602	2330	1534
603	2334	1530
604	2339	1527
605	2345	1524
606	2351	1522
607	2355	1518
608	2361	1515
609	2365	1512
610	2368	1507
611	2372	1503
612	2380	1502
613	2383	1498
614	2388	1495
615	2391	1491
616	2397	1488
617	2402	1484
618	2407	1481
619	2410	1477
620	2413	1473
621	2419	1470
622	2421	1465
623	2425	1461
624	2428	1457
625	2436	1455
626	2440	1451
627	2443	1447
628	2447	1443
629	2450	1439
630	2454	1435
631	2457	1431
632	2461	1427
633	2464	1422
634	2467	1418
635	2470	1413
636	2473	1409
637	2477	1405
638	2479	1401
639	2482	1396
640	2486	1392
641	2489	1388
642	2494	1385
643	2497	1380
644	2501	1376
645	2505	1372
646	2508	1368
647	2512	1364
648	2516	1360
649	2520	1357
650	2523	1353
651	2526	1348
652	2529	1344
653	2533	1340
654	2537	1336
655	2539	1331
656	2543	1327
657	2547	1323
658	2551	1320
659	2554	1315
660	2557	1311
661	2559	1306
662	2564	1303
663	2569	1299
664	2572	1295
665	2576	1292
666	2581	1288
667	2584	1284
668	2586	1279
669	2590	1276
670	2593	1271
671	2596	1267
672	2598	1262
673	2601	1258
674	2606	1254
675	2609	1250
676	2611	1245
677	2613	1241
678	2616	1236
679	2619	1232
680	2621	1228
681	2624	1223
682	2626	1219
683	2629	1214
684	2631	1210
685	2635	1206
686	2638	1201
687	2641	1197
688	2643	1193
689	2645	1188
690	2648	1184
691	2652	1180
692	2654	1176
693	2657	1171
694	2659	1167
695	2664	1164
696	2670	1160
697	2672	1156
698	2675	1152
699	2680	1148
700	2684	1144
701	2687	1140
702	2690	1136
703	2693	1132
704	2696	1128
705	2699	1124
706	2702	1119
707	2704	1115
708	2707	1111
709	2710	1106
710	2712	1102
711	2714	1098
712	2717	1093
713	2719	1089
714	2723	1085
715	2725	1081
716	2727	1076
717	2730	1072
718	2732	1067
719	2735	1063
720	2740	1060
721	2742	1056
722	2745	1051
723	2747	1047
724	2750	1043
725	2752	1038
726	2757	1035
727	2760	1031
728	2762	1026
729	2765	1022
730	2768	1018
731	2773	1015
732	2775	1011
733	2777	1006
734	2780	1002
735	2782	998
736	2785	994
737	2789	990
738	2791	986
739	2794	981
740	2796	977
741	2799	973
742	2801	969
743	2803	964
744	2806	960
745	2809	956
746	2811	952
747	2814	948
748	2817	944
749	2819	939
750	2821	935
751	2824	931
752	2827	927
753	2830	923
754	2832	919
755	2834	914
756	2837	910
757	2839	906
758	2842	902
759	2845	898
760	2849	894
761	2852	890
762	2854	886
763	2856	882
764	2860	878
765	2863	874
766	2866	870
767	2869	866
768	2872	862
769	2875	858
770	2877	854
771	2880	850
772	2883	846
773	2886	842
774	2889	838
775	2891	834
776	2894	830
777	2897	826
778	2901	823
779	2903	819
780	2906	814
781	2908	810
782	2911	806
783	2914	802
784	2916	798
785	2919	794
786	2921	790
787	2923	786
788	2926	782
789	2928	778
790	2931	774
791	2934	770
792	2937	766
793	2940	762
794	2942	758
795	2944	754
796	2947	750
797	2949	746
798	2952	742
799	2955	738
800	2957	734
801	2960	730
802	2962	726
803	2964	722
804	2967	718
805	2972	715
806	2977	712
807	2980	708
808	2982	704
809	2984	700
810	2987	696
811	2989	692
812	2992	688
813	2996	684
814	2998	680
815	3000	676
816	3003	672
817	3005	668
818	3007	664
819	3011	660
820	3013	657
821	3015	653
822	3018	649
823	3020	645
824	3023	641
825	3025	637
826	3029	633
827	3032	629
828	3034	625
829	3036	622
830	3039	618
831	3042	614
832	3044	610
833	3046	606
834	3049	602
835	3051	598
836	3055	595
837	3058	591
838	3060	587
839	3062	583
840	3064	579
841	3067	575
842	3069	571
843	3072	567
844	3074	563
845	3076	560
846	3079	556
847	3081	552
848	3084	548
849	3088	544
850	3090	541
851	3093	537
852	3095	533
853	3098	529
854	3100	525
855	3103	522
856	3105	518
857	3107	514
858	3109	510
859	3113	506
860	3116	503
861	3119	499
862	3121	495
863	3123	491
864	3126	487
865	3129	484
866	3131	480
867	3133	476
868	3135	472
869	3138	468
870	3140	465
871	3143	461
872	3146	457
873	3149	454
874	3151	450
875	3153	446
876	3156	442
877	3158	438
878	3160	435
879	3163	431
880	3166	427
881	3169	424
882	3173	420
883	3177	416
884	3179	413
885	3181	409
886	3184	405
887	3186	401
888	3189	398
889	3191	394
890	3193	390
891	3196	386
892	3198	383
893	3201	379
894	3203	375
895	3206	372
896	3208	368
897	3211	364
898	3213	361
899	3218	357
900	3220	353
901	3222	350
902	3225	346
903	3227	342
904	3230	339
905	3234	335
906	3236	331
907	3239	328
908	3241	324
909	3244	320
910	3246	317
911	3248	313
912	3251	309
913	3254	306
914	3257	302
915	3260	298
916	3262	295
917	3265	291
918	3268	288
919	3270	284
920	3273	280
921	3278	277
922	3281	273
923	3284	270
924	3287	266
925	3291	263
926	3306	260
927	3309	256
928	3312	253
929	3315	249
930	3320	246
931	3322	242
932	3325	238
933	3328	235
934	3333	231
935	3336	228
936	3339	224
937	3342	220
938	3344	217
939	3347	213
940	3351	210
941	3354	206
942	3358	202
943	3360	199
944	3363	195
945	3365	192
946	3369	188
947	3373	185
948	3375	181
949	3380	177
950	3383	174
951	3388	170
952	3390	167
953	3393	163
954	3396	160
955	3398	156
956	3402	152
957	3404	149
958	3408	145
959	3410	142
960	3413	138
961	3419	135
962	3422	131
963	3425	127
964	3428	124
965	3432	120
966	3435	117
967	3440	113
968	3445	110
969	3448	106
970	3451	103
971	3454	99
972	3457	95
973	3461	92
974	3464	88
975	3468	85
976	3471	81
977	3476	78
978	3480	74
979	3483	71
980	3486	67
981	3489	63
982	3492	60
983	3495	56
984	3503	53
985	3506	49
986	3509	46
987	3511	42
988	3514	39
989	3521	35
990	3523	32
991	3527	28
992	3530	24
993	3536	21
994	3539	17
995	3541	14
996	3545	10
997	3548	7
998	3551	3
999	3554	0
