iter	Logloss
0	0.6871082128
1	0.6811482812
2	0.674679548
3	0.6687415399
4	0.6625471948
5	0.6576443277
6	0.652179189
7	0.6466095071
8	0.6412153983
9	0.6354246376
10	0.6303695968
11	0.6260907132
12	0.6211406679
13	0.6167848278
14	0.6135485891
15	0.6097869267
16	0.6055134825
17	0.601917847
18	0.597461085
19	0.5931350629
20	0.5907521331
21	0.5874645185
22	0.583861766
23	0.5795915694
24	0.5764278559
25	0.5730437544
26	0.5702709304
27	0.566751718
28	0.5642227171
29	0.5609832616
30	0.5580830189
31	0.5547894031
32	0.5522021206
33	0.5502105836
34	0.5477443678
35	0.5446978862
36	0.5423042804
37	0.5402138992
38	0.5382885585
39	0.5364117653
40	0.5337392789
41	0.5318190207
42	0.5296877586
43	0.5273358947
44	0.525292905
45	0.522927084
46	0.5215014986
47	0.5195537971
48	0.5170012467
49	0.5152529659
50	0.5131712275
51	0.5117783558
52	0.509652267
53	0.5081890627
54	0.5060261327
55	0.5044190871
56	0.5030500567
57	0.5015467174
58	0.5002424324
59	0.4987149857
60	0.4976433083
61	0.4959006417
62	0.4942987916
63	0.4928764946
64	0.4922089201
65	0.4907706894
66	0.489346767
67	0.4880198418
68	0.4862348085
69	0.4849655789
70	0.4833156073
71	0.4822214336
72	0.4811226956
73	0.4796630535
74	0.4783600289
75	0.4772659363
76	0.4755682865
77	0.4745777542
78	0.4738422559
79	0.4727928006
80	0.4715861425
81	0.4707590001
82	0.4694128035
83	0.4683542349
84	0.4673675918
85	0.4664863028
86	0.4657828266
87	0.4644945283
88	0.4634089504
89	0.4624331626
90	0.461345539
91	0.4604911892
92	0.4595078048
93	0.458704425
94	0.4579947291
95	0.4570022766
96	0.4563119453
97	0.455093635
98	0.4539662242
99	0.4532670345
100	0.4522031239
101	0.4516071618
102	0.4504789027
103	0.4495542226
104	0.4488050643
105	0.4478937776
106	0.4470117106
107	0.4461542667
108	0.4454966094
109	0.4445538909
110	0.4439036093
111	0.4433888942
112	0.4428242973
113	0.4419664103
114	0.4403750283
115	0.439670754
116	0.4391055132
117	0.4382494326
118	0.4377554754
119	0.4369957807
120	0.4364262181
121	0.4357690312
122	0.4352712855
123	0.43456575
124	0.4338689123
125	0.432998711
126	0.4323781935
127	0.4317991867
128	0.4311899832
129	0.430519202
130	0.4300863738
131	0.4297196622
132	0.428840549
133	0.4283653745
134	0.4279144744
135	0.4270158527
136	0.42645455
137	0.4260029233
138	0.4252026737
139	0.4248326372
140	0.4243582742
141	0.4232270978
142	0.42274162
143	0.4223794719
144	0.4216570404
145	0.4208501225
146	0.4202747892
147	0.4196969565
148	0.4191723327
149	0.4188156773
150	0.4184396737
151	0.4178233525
152	0.4171580272
153	0.4165861724
154	0.416129246
155	0.4155861369
156	0.4151384428
157	0.4145527447
158	0.4141908418
159	0.413635191
160	0.4131226596
161	0.4121250429
162	0.4117118537
163	0.411051988
164	0.4104522389
165	0.4099220487
166	0.4092270614
167	0.4087547266
168	0.4081214016
169	0.4074615029
170	0.4068559829
171	0.4063592015
172	0.4057302296
173	0.4053105617
174	0.4048133348
175	0.4041076973
176	0.4038419891
177	0.4030597307
178	0.4026701985
179	0.402389073
180	0.4020371529
181	0.4014117739
182	0.4009203838
183	0.4002632756
184	0.3997084576
185	0.3993705185
186	0.3985955904
187	0.3983572683
188	0.3981164317
189	0.3978066367
190	0.397534287
191	0.3968135343
192	0.3957685712
193	0.3954075042
194	0.3948120607
195	0.3944568176
196	0.3940088815
197	0.3932411489
198	0.3925410888
199	0.391802511
200	0.3914617989
201	0.3910065102
202	0.3907636543
203	0.3903010276
204	0.389753405
205	0.3894337252
206	0.3892394758
207	0.3888448544
208	0.3886342453
209	0.3881364895
210	0.3870085014
211	0.3867236544
212	0.3859298071
213	0.3857603082
214	0.3852075132
215	0.3849040021
216	0.3848018804
217	0.38439421
218	0.384032454
219	0.3836036697
220	0.3833343395
221	0.3829494242
222	0.3824688506
223	0.3819191479
224	0.3813520727
225	0.3805755281
226	0.380225315
227	0.379925259
228	0.3796156546
229	0.379057366
230	0.3785476899
231	0.3778808262
232	0.3770368732
233	0.3768448856
234	0.3762209747
235	0.3757864313
236	0.3754899311
237	0.3752282804
238	0.3747767636
239	0.3743947082
240	0.3740971285
